series,metric,tokens,value
baseline,tok_per_sec,63239734,235277.000000
baseline,tok_per_sec,64276450,337541.000000
baseline,tok_per_sec,65313167,325446.000000
baseline,tok_per_sec,66349884,332423.000000
baseline,tok_per_sec,67386601,313910.000000
baseline,tok_per_sec,68423318,319795.000000
baseline,tok_per_sec,69460035,329786.000000
baseline,tok_per_sec,70496752,318191.000000
baseline,tok_per_sec,71533469,331408.000000
baseline,tok_per_sec,72570186,308246.000000
baseline,tok_per_sec,73606903,233950.000000
baseline,tok_per_sec,74643620,317500.000000
baseline,tok_per_sec,75680337,315851.000000
baseline,tok_per_sec,76717054,316663.000000
baseline,tok_per_sec,77753771,321259.000000
baseline,tok_per_sec,78790488,308242.000000
baseline,tok_per_sec,79827205,334580.000000
baseline,tok_per_sec,80863922,306744.000000
baseline,tok_per_sec,81900639,320934.000000
baseline,tok_per_sec,82937355,326286.000000
baseline,tok_per_sec,83974072,242758.000000
baseline,tok_per_sec,85010789,317077.000000
baseline,tok_per_sec,86047506,261100.000000
baseline,tok_per_sec,87084223,325346.000000
baseline,tok_per_sec,88120940,320875.000000
baseline,tok_per_sec,89157657,325051.000000
baseline,tok_per_sec,90194374,315570.000000
baseline,tok_per_sec,91231091,319153.000000
baseline,tok_per_sec,92267808,330430.000000
baseline,tok_per_sec,93304525,320382.000000
baseline,tok_per_sec,94341242,226725.000000
baseline,tok_per_sec,95377959,329055.000000
baseline,tok_per_sec,96414676,321257.000000
baseline,tok_per_sec,97451393,339106.000000
baseline,tok_per_sec,98488110,334125.000000
baseline,tok_per_sec,99524827,333014.000000
baseline,tok_per_sec,100561544,310786.000000
baseline,tok_per_sec,101598260,332028.000000
baseline,tok_per_sec,102634977,314691.000000
baseline,tok_per_sec,103671694,320559.000000
baseline,tok_per_sec,104708411,232886.000000
baseline,tok_per_sec,105745128,330741.000000
baseline,tok_per_sec,106781845,319764.000000
baseline,tok_per_sec,107818562,333780.000000
baseline,tok_per_sec,108855279,327332.000000
baseline,tok_per_sec,109891996,322605.000000
baseline,tok_per_sec,110928713,322594.000000
baseline,tok_per_sec,111965430,317551.000000
baseline,tok_per_sec,113002147,321582.000000
baseline,tok_per_sec,114038864,323008.000000
baseline,tok_per_sec,115075581,237450.000000
baseline,tok_per_sec,116112298,321005.000000
baseline,tok_per_sec,117149015,323204.000000
baseline,tok_per_sec,118185732,327281.000000
baseline,tok_per_sec,119222448,327819.000000
baseline,tok_per_sec,120259165,295536.000000
baseline,tok_per_sec,121295882,317900.000000
baseline,tok_per_sec,122332599,323798.000000
baseline,tok_per_sec,123369316,313726.000000
baseline,tok_per_sec,124406033,323837.000000
baseline,tok_per_sec,125442750,236797.000000
baseline,tok_per_sec,126479467,318668.000000
baseline,tok_per_sec,127516184,317511.000000
baseline,tok_per_sec,128552901,318415.000000
baseline,tok_per_sec,129589618,321952.000000
baseline,tok_per_sec,130626335,311416.000000
baseline,tok_per_sec,131663052,317298.000000
baseline,tok_per_sec,132699769,310414.000000
baseline,tok_per_sec,133736486,312182.000000
baseline,tok_per_sec,134773203,315453.000000
baseline,tok_per_sec,135809920,242366.000000
baseline,tok_per_sec,136846637,325712.000000
baseline,tok_per_sec,137883353,309548.000000
baseline,tok_per_sec,138920070,319695.000000
baseline,tok_per_sec,139956787,325867.000000
baseline,tok_per_sec,140993504,315568.000000
baseline,tok_per_sec,142030221,315573.000000
baseline,tok_per_sec,143066938,316092.000000
baseline,tok_per_sec,144103655,313748.000000
baseline,tok_per_sec,145140372,317783.000000
baseline,tok_per_sec,146177089,238549.000000
baseline,tok_per_sec,147213806,318788.000000
baseline,tok_per_sec,148250523,301732.000000
baseline,tok_per_sec,149287240,302495.000000
baseline,tok_per_sec,150323957,333429.000000
baseline,tok_per_sec,151360674,312986.000000
baseline,tok_per_sec,152397391,327869.000000
baseline,tok_per_sec,153434108,310744.000000
baseline,tok_per_sec,154470825,328815.000000
baseline,tok_per_sec,155507542,321158.000000
baseline,tok_per_sec,156544258,230991.000000
baseline,tok_per_sec,157580975,315298.000000
baseline,tok_per_sec,158617692,328738.000000
baseline,tok_per_sec,159654409,308500.000000
baseline,tok_per_sec,160691126,312189.000000
baseline,tok_per_sec,161727843,336302.000000
baseline,tok_per_sec,162764560,314398.000000
baseline,tok_per_sec,163801277,317820.000000
baseline,tok_per_sec,164837994,322585.000000
baseline,tok_per_sec,165874711,309354.000000
baseline,tok_per_sec,166911428,236743.000000
baseline,tok_per_sec,167948145,322315.000000
baseline,tok_per_sec,168984862,316823.000000
baseline,tok_per_sec,170021579,320239.000000
baseline,tok_per_sec,171058296,315780.000000
baseline,tok_per_sec,172095013,313408.000000
baseline,tok_per_sec,173131730,314990.000000
baseline,tok_per_sec,174168447,347302.000000
baseline,tok_per_sec,175205163,323752.000000
baseline,tok_per_sec,176241880,316301.000000
baseline,tok_per_sec,177278597,235598.000000
baseline,tok_per_sec,178315314,320272.000000
baseline,tok_per_sec,179352031,349125.000000
baseline,tok_per_sec,180388748,301148.000000
baseline,tok_per_sec,181425465,329442.000000
baseline,tok_per_sec,182462182,303611.000000
baseline,tok_per_sec,183498899,320326.000000
baseline,tok_per_sec,184535616,312263.000000
baseline,tok_per_sec,185572333,301897.000000
baseline,tok_per_sec,186609050,293828.000000
